fips,county_name,state,gun_homicide_rate,population,gini,drug_offense_rate,poverty_rate,median_income,gun_ownership_pct,giffords_grade,giffords_numeric,region,mass_shooting_incidents,years,mass_shooting_rate
06037,Los Angeles County,CA,7.2,9829544,0.507,320.0,14.2,75235,28.3,A,11,West,62,2019-2023,0.1261503076846698
17031,Cook County,IL,14.5,5173146,0.504,580.0,13.1,72231,27.8,A,11,Midwest,88,2019-2023,0.3402185053350515
48201,Harris County,TX,12.8,4728030,0.498,490.0,15.8,63802,45.7,F,0,South,54,2019-2023,0.2284249465422174
04013,Maricopa County,AZ,7.1,4496588,0.46,420.0,13.5,72850,46.3,F,0,West,28,2019-2023,0.12453887258516902
06073,San Diego County,CA,3.5,3276208,0.465,340.0,11.8,88240,28.3,A,11,West,14,2019-2023,0.08546465914252087
06059,Orange County,CA,1.8,3162245,0.465,260.0,9.1,104419,28.3,A,11,West,6,2019-2023,0.037947723848088935
12086,Miami-Dade County,FL,10.2,2701767,0.512,410.0,16.5,57815,35.3,D,2,South,38,2019-2023,0.28129738796868864
48113,Dallas County,TX,11.4,2613539,0.504,470.0,15.3,62081,45.7,F,0,South,32,2019-2023,0.24487868748084493
36047,Kings County,NY,4.8,2559903,0.512,290.0,19.2,66850,19.9,A,11,Northeast,22,2019-2023,0.17188151269794208
06065,Riverside County,CA,5.6,2418185,0.435,380.0,13.4,73260,28.3,A,11,West,16,2019-2023,0.13233065294838897
04019,Pima County,AZ,6.8,1043433,0.462,480.0,18.1,55950,46.3,F,0,West,8,2019-2023,0.1533399844551591
36081,Queens County,NY,2.5,2270976,0.461,220.0,12.6,75805,19.9,A,11,Northeast,10,2019-2023,0.08806786157141247
26163,Wayne County,MI,22.5,1749343,0.503,610.0,23.1,45450,40.2,C+,6,Midwest,42,2019-2023,0.48018027339406855
06071,San Bernardino County,CA,7.8,2171603,0.432,440.0,14.8,70287,28.3,A,11,West,18,2019-2023,0.1657761570600151
53033,King County,WA,3.9,2269675,0.472,350.0,9.2,110586,42.1,A-,10,West,12,2019-2023,0.10574201152147333
12011,Broward County,FL,6.1,1944375,0.472,370.0,11.7,64588,35.3,D,2,South,14,2019-2023,0.14400514304082287
48029,Bexar County,TX,9.3,2009324,0.466,430.0,15.6,59672,45.7,F,0,South,22,2019-2023,0.21897911934561076
06001,Alameda County,CA,6.4,1637753,0.49,310.0,10.3,112017,28.3,A,11,West,14,2019-2023,0.17096595152016206
42101,Philadelphia County,PA,20.1,1567258,0.518,640.0,22.8,49127,40.7,C+,6,Northeast,95,2019-2023,1.2123083755195379
48439,Tarrant County,TX,7.5,2110640,0.448,390.0,10.8,74513,45.7,F,0,South,16,2019-2023,0.15161278095743472
36061,New York County,NY,2.1,1596273,0.6,310.0,15.0,93651,19.9,A,11,Northeast,6,2019-2023,0.07517511102424208
06085,Santa Clara County,CA,1.9,1870945,0.47,230.0,7.0,140258,28.3,A,11,West,4,2019-2023,0.04275914043437942
12031,Duval County,FL,12.3,995567,0.468,520.0,14.6,58310,35.3,D,2,South,18,2019-2023,0.3616029860371025
12099,Palm Beach County,FL,5.8,1492191,0.513,380.0,11.2,72285,35.3,D,2,South,10,2019-2023,0.13403109923595571
06067,Sacramento County,CA,8.1,1552058,0.457,400.0,14.5,73648,28.3,A,11,West,16,2019-2023,0.20617786190979975
47157,Shelby County,TN,23.4,927641,0.506,590.0,19.8,52395,51.6,F,0,South,36,2019-2023,0.7761623300393148
29510,St. Louis City,MO,28.1,293310,0.536,720.0,24.2,45782,48.8,F,0,Midwest,38,2019-2023,2.591115202345641
29189,St. Louis County,MO,7.2,1004125,0.467,410.0,9.8,68745,48.8,F,0,Midwest,12,2019-2023,0.23901406697373334
13121,Fulton County,GA,13.9,1066710,0.546,500.0,14.1,72410,49.2,F,0,South,20,2019-2023,0.37498476624387134
27053,Hennepin County,MN,5.4,1281565,0.469,370.0,11.2,82785,42.4,B+,9,Midwest,14,2019-2023,0.21848287055280066
39035,Cuyahoga County,OH,11.8,1235072,0.497,530.0,17.5,52137,40.0,D-,1,Midwest,22,2019-2023,0.35625453414861646
48141,El Paso County,TX,2.9,865657,0.42,250.0,20.1,49530,45.7,F,0,South,4,2019-2023,0.09241535619766258
55079,Milwaukee County,WI,16.4,929566,0.489,560.0,19.4,49850,44.4,D,2,Midwest,28,2019-2023,0.6024316724148688
12057,Hillsborough County,FL,7.3,1459762,0.462,400.0,12.9,63815,35.3,D,2,South,12,2019-2023,0.16441036278516635
37119,Mecklenburg County,NC,9.2,1151610,0.484,430.0,11.5,72308,45.6,D,2,South,16,2019-2023,0.2778718489766501
06077,San Joaquin County,CA,9.8,779233,0.441,460.0,16.0,66870,28.3,A,11,West,10,2019-2023,0.2566626413409083
32003,Clark County,NV,8.4,2265461,0.441,440.0,12.8,62975,47.3,B,8,West,24,2019-2023,0.21187740596726226
24510,Baltimore City,MD,34.2,576498,0.518,700.0,21.8,52164,30.2,A-,10,South,52,2019-2023,1.803995850809543
24005,Baltimore County,MD,4.9,850737,0.44,350.0,9.4,74127,30.2,A-,10,South,6,2019-2023,0.14105416832699177
48453,Travis County,TX,4.6,1290188,0.489,340.0,11.3,85205,45.7,F,0,South,10,2019-2023,0.15501616818634184
39049,Franklin County,OH,10.1,1323807,0.479,460.0,15.0,61835,40.0,D-,1,Midwest,16,2019-2023,0.24172707955162648
